Question;VRAI;Autre1;Autre2;Autre3;DIFFICULTE;Categorie
Capitale Mongolie;oulan-bator ;Quito ;Astana;Ankara;3;Geo
Pays le plus grand d'Europe (apres la Russie);Ukraine;Suede;Allemagne;Espagne;3;Geo
pays/principauté d'europe le plus dense ;Monaco;Vatican;Gibraltar;Malte ;2;Geo
Dernier pays a avoir integre l'UE;Croatie;Roumanie;Hongrie;Suisse;3;Geo
Avec combien de pays la France a-t-elle de frontieres ? ;8;9;7;6;2;Geo
Combien de regions la France compte-elle ? ;18;10;13;11;3;Geo
Par quel polygone designe-t-on souvent la France ?;Hexagone;;;;1;Geo
Combien la planete compte-t-elle de continents ? ;6;;;;1;Geo
Qui est le DJ qui a travaille avec les Black eyed peas sur 'I gotta feeling' ? ;David Guetta;;;;1;Musique
Lequel de ces 4 artistes est le plus vieux ?;Patrick Bruel;Florent Pagny;Pascal Obispo;Garou;3;People
Lequel de ces people s'est fait connaitre en premier ?;Loana;Jenifer;Matt Pokora;Amel Bent;3;People
Quel fortune francaise a atteint la 3eme place des plus grandes fortunes mondiales en 2020 ?;Bernard Arnault ;Pinault;Bettencourt ;Niel ;2;General
Quel etait le nom chanteur du groupe Indochine ? ;Nicola Sirkis ;Benoit Poher;Bill Kaulitz;Jean-Louis Aubert ;2;Musique
Qui a ecrit Bel-Ami ? ;Maupassant;Albert Camus;Victor Hugo ;Emile Zola;2;Litterature
Quel est la particularite du livre la disparition de Georges Perec ? ;Aucun e ;Le livre le plus court ;deux fins possible;disponible seulement en ligne ;3;Litterature
Combien y-a-t-il eu de films Harry Potter ? ;8;;;;1;Cinema
Lequel de ces films est le plus long ? ;Le seigneur des anneaux: le retour du roi ;Le loup de Wall street ;Titanic ;La ligne verte ;3;Cinema
Lequel de ces duos a ete le plus fréquent a l'ecran ? ;Louis de Funes/Claude Gensac;Clavier/Depardieu;Clavier/Reno;Dicaprio/Winslet;1;Cinema
Quel enseigne de fast food a le plus d'emplacements en France ? ;Macdonald's ;Subway;Paul ;Burger King;2;General
Lequel de ces couples a le plus dure ? ;B.Pitt/A.Jolie;R.Pattinson/K.Stewart;J.Bieber/S.Gomez;Z.Efron/V.Hudgens;1;People
A quel espece appartient le seul animal immortel;la meduse;l'ourson d'eau;la pieuvre;la tortue;2;FF
Quel animal est le plus meutrier ;le moustique;l'elephant;la sangsue;la vipere;2;FF
Quel age a la doyenne de l'humanite ;117 ans ;120 ans;114 ans;137 ans;3;General
Quel animal est le plus rapide sur terre;Guepard;Leopard;Usain Bolt;L'aigle royal;1;FF
Sur quoi est basee la theorie de la relativite generale d'Einstein?;Le principe d'equivalence de Galilee;La loi universelle de la gravitation de Newton;l'offre et la demande;l'heliocentrisme de Copernic;3;Sciences
Quel est l'evenement sportif  le plus suivi au monde?;JO d'ete;Finale cdm;Superbowl;Rayder Cup;2;Sport
Quel est la fable d'Esope dans laquelle un personnage criait au loup en vain ?;Le berger mauvais plaisant;Pierre et le loup;Le loup est dans la bergerie;le menteur qu'on ne croyait plus;3;Litterature
Coupe du Monde de foot 2018 : combientieme edition CDM ? ;21;22;20;19;3;Sport
Ou devrait se dérouler les prochains JO d'ete ? ;Tokyo ;Rio;Londres;Berlin;1;Sport
Quel est le sport national en France ? ;Football ;Jeu de Paume;Tennis;Petanque;2;Sport
Quand est apparue la premiere television ;1926;1918;1931;1936;3;Histoire
Citez un prenom des freres lumieres ;Auguste ;Louis ;Paul ;Emile;2;Histoire
Taille de la Tour Eiffel (le plus proche sans depasser gagne) (2 points);324m ;;;;1;General
Ou se situe le plus haut batiment au monde ?;Dubai (828m);;;;1;Geo
A qui George Sand a adresse une lettre érotique au dechiffrement cache ? ;Musset ;Appolinaire;Flaubert;Lamartine;3;Litterature
Lequel de ces films est le plus ancien ? ;Les bronzes font du ski ;Terminator ;Dirty Dancing ;Le pere noel est une ordure ;3;Cinema
Combien mesure l'homme le plus grand du monde ? (2points);2,51m;2,34m;2,66m;2,42m;1;General
Poids moyen d'un lion ? (2 pts);190;160;210;245;1;FF
De quoi est mort Freddy Mercury ? ;Sida;crise cardiaque;cancer;legionelose;1;Musique
Que signifie 'etre nareux' ?;craindre les bacteries  ;etre paresseux;ne jamais reconnaitre ses erreurs;aimer raconter des histoires;3;General
Quel sport est le plus ancien ? ;Lutte;Course a pied;Javelot;Polo;2;Sport
Quel joueur a participŽ au plus de matchs de grand chelem ? ;Federer ;Nadal;Djoko;Wawrinka ;2;Sport
