date,taux_occup,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,OPINION,temp,type_jour
2020-05-17,69.72,10,0.0,82,météo correcte,14.0,week-end
2020-05-18,56.52,10,0.0,89,météo favorable,15.0,normal
2020-05-19,55.03,14,0.0,89,météo favorable,16.0,normal
2020-05-20,55.77,13,0.0,90,météo favorable,17.0,normal
2020-05-21,49.34,6,2.8,91,météo favorable,18.0,férié
2020-05-22,63.12,21,4.4,95,météo correcte,18.0,normal
2020-05-23,68.73,19,7.1,91,météo défavorable,12.0,week-end
2020-05-24,63.88,20,1.0,95,météo très défavorable,11.0,week-end
2020-05-25,66.44,15,0.6,93,météo correcte,14.0,normal
2020-05-26,74.71,15,0.0,92,météo favorable,15.0,normal
2020-05-27,75.58,14,0.2,84,météo favorable,16.0,normal
2020-05-28,75.58,21,0.0,90,météo correcte,14.0,normal
2020-05-29,75.8,17,0.0,85,météo correcte,14.0,normal
2020-05-30,26.8,20,0.0,83,météo favorable,15.0,week-end
2020-05-31,67.17,19,0.0,79,météo correcte,14.0,week-end
